Index: 0 | Hex: 39 | Char: '9' | ASCII: 57
Index: 67 | Hex: 0d | Char: 'Non-printable' | ASCII: 13
Index: 68 | Hex: 62 | Char: 'b' | ASCII: 98
Index: 69 | Hex: 49 | Char: 'I' | ASCII: 73
Index: 70 | Hex: 24 | Char: '$' | ASCII: 36
Index: 71 | Hex: 78 | Char: 'x' | ASCII: 120
Index: 72 | Hex: 6e | Char: 'n' | ASCII: 110
Index: 73 | Hex: 46 | Char: 'F' | ASCII: 70
Index: 74 | Hex: 2d | Char: '-' | ASCII: 45
Index: 75 | Hex: 21 | Char: '!' | ASCII: 33
Index: 76 | Hex: 72 | Char: 'r' | ASCII: 114
Index: 77 | Hex: 2e | Char: '.' | ASCII: 46
Index: 78 | Hex: 6d | Char: 'm' | ASCII: 109
Index: 79 | Hex: 7a | Char: 'z' | ASCII: 122
Index: 80 | Hex: 4f | Char: 'O' | ASCII: 79
Index: 81 | Hex: 5b | Char: '[' | ASCII: 91
Index: 82 | Hex: 66 | Char: 'f' | ASCII: 102
Index: 83 | Hex: 79 | Char: 'y' | ASCII: 121
Index: 84 | Hex: 31 | Char: '1' | ASCII: 49
Index: 85 | Hex: 2c | Char: ',' | ASCII: 44
Index: 86 | Hex: 7e | Char: '~' | ASCII: 126
Index: 87 | Hex: 51 | Char: 'Q' | ASCII: 81
Index: 88 | Hex: 4d | Char: 'M' | ASCII: 77
Index: 89 | Hex: 26 | Char: '&' | ASCII: 38
Index: 90 | Hex: 65 | Char: 'e' | ASCII: 101
Index: 91 | Hex: 4a | Char: 'J' | ASCII: 74
Index: 92 | Hex: 4c | Char: 'L' | ASCII: 76
Index: 93 | Hex: 64 | Char: 'd' | ASCII: 100
Index: 94 | Hex: 2a | Char: '*' | ASCII: 42
Index: 95 | Hex: 22 | Char: '"' | ASCII: 34
Index: 96 | Hex: 3b | Char: ';' | ASCII: 59
Index: 97 | Hex: 33 | Char: '3' | ASCII: 51
